longitude,latitude,wind_speed
0.0,-90.0,3.7430053565234993
0.0,-87.0,6.0567970105905635
0.0,-84.0,5.699250029217025
0.0,-81.0,6.887628792780297
0.0,-78.0,5.4674385695215975
0.0,-75.0,4.044296082173443
0.0,-72.0,4.489050996601488
0.0,6.0,1.5447082606697728
0.0,9.0,1.522472011296886
0.0,12.0,1.862721758039621
0.0,15.0,2.849053573871944
0.0,18.0,2.7738815923448
0.0,21.0,2.218204115327612
0.0,24.0,2.2681023389095745
0.0,27.0,2.6249451062315594
0.0,30.0,2.52918099039053
0.0,33.0,1.4438745819932202
0.0,42.0,1.0042292584337107
0.0,45.0,1.0820268365794106
0.0,48.0,1.8740712919701872
0.0,51.0,2.143363662081219
3.0,-90.0,3.7430053565234993
3.0,-87.0,6.00914801321558
3.0,-84.0,5.3834121199220455
3.0,-81.0,6.708775399913594
3.0,-78.0,5.558383262125655
3.0,-75.0,4.476517329588298
3.0,-72.0,3.835704480653717
3.0,9.0,1.1901179758988571
3.0,12.0,1.7918780537743546
3.0,15.0,2.739767775778141
3.0,18.0,2.7176663980899494
3.0,21.0,1.9364669127786183
3.0,24.0,1.3271785770099145
3.0,27.0,3.9316290339890667
3.0,30.0,2.389415693662047
3.0,33.0,1.6436807173114507
3.0,36.0,0.8082717717611642
3.0,42.0,0.9618110180706388
3.0,45.0,1.1514190135370548
3.0,48.0,1.9863841644819766
3.0,51.0,2.2419066968595596
6.0,-90.0,3.7430053565234993
6.0,-87.0,5.924620596966949
6.0,-84.0,4.930762770514339
6.0,-81.0,6.519478372799523
6.0,-78.0,5.703705659971202
6.0,-75.0,4.590172187115544
6.0,-72.0,5.010904696128049
6.0,6.0,0.8847870549076484
6.0,9.0,0.9875209343396021
6.0,12.0,2.234435846960505
6.0,15.0,3.0758147421768203
6.0,18.0,2.017900908461318
6.0,21.0,2.609700992758793
6.0,24.0,0.9535469277843545
6.0,27.0,1.9040797520048107
6.0,30.0,2.086072474681355
6.0,33.0,1.6347824288318054
6.0,36.0,0.8720909374270147
6.0,45.0,0.4184333775433442
6.0,48.0,1.4416421844185632
6.0,51.0,2.0703743556741836
6.0,60.0,0.7585938477484859
9.0,-90.0,3.7430053565234993
9.0,-87.0,5.760811513296765
9.0,-84.0,4.650513732863625
9.0,-81.0,6.582508158469945
9.0,-78.0,5.703621416071555
9.0,-75.0,4.311866908217966
9.0,-72.0,7.006379398006513
9.0,6.0,0.40992692472597586
9.0,9.0,1.0580802213350546
9.0,12.0,1.6847498279496325
9.0,15.0,3.662364617993569
9.0,18.0,1.3825523766722474
9.0,21.0,2.743177840726648
9.0,24.0,1.4504656323861151
9.0,27.0,2.4829231375141636
9.0,30.0,1.7913356601041646
9.0,33.0,2.06689790066338
9.0,36.0,0.887061097331736
9.0,42.0,0.6689400902906494
9.0,45.0,0.4175024876973361
9.0,48.0,1.2801827971480308
9.0,51.0,1.6994827547317002
9.0,54.0,2.008945912352947
9.0,60.0,0.7212838823566617
9.0,63.0,0.7948557607415175
12.0,-90.0,3.7430053565234993
12.0,-87.0,5.612318221849445
12.0,-84.0,4.566595734302761
12.0,-81.0,6.797646261307867
12.0,-78.0,5.498339542518491
12.0,-75.0,3.785675647711528
12.0,-72.0,4.546125863718174
12.0,-18.0,4.3893788223884265
